idx,timestamp,acc,prec_attack,recl_attack,prec_normal,recl_normal,f1,lb,timest,qnt
1,1691148961,6.9270018061875e-310,6.9270018061875e-310,6.9270018061875e-310,6.9270018061875e-310,6.92700180628157e-310,6.9270018062381e-310,6.9270018062302e-310,3.60048936e-316,4.0282814e-316
10001,1691148961,0.9988249706242656,0.9988249706242656,1.0,0.0,0.0,0.9994121399357107,0.9987,0.6307129859924316,10000.0
20001,1691148961,0.9987749693742344,0.9987749693742344,1.0,0.0,0.0,0.9993871092821675,0.9993,0.8620908260345459,20000.0
30001,1691148961,0.99879996999925,0.99879996999925,1.0,0.0,0.0,0.9993996247654785,0.9994,1.1057946681976318,30000.0
40001,1691148961,0.99879996999925,0.99879996999925,1.0,0.0,0.0,0.9993996247654785,0.9994,1.3426778316497803,40000.0
50001,1691148961,0.9993499837495937,0.9993499837495937,1.0,0.0,0.0,0.9996748862101735,0.9972,1.5755810737609863,50000.0
60001,1691148961,0.9995249881247031,0.9995249881247031,1.0,0.0,0.0,0.9997624376398805,0.9991,1.819978952407837,60000.0
70001,1691148961,0.9938498462461561,0.9938498462461561,1.0,0.0,0.0,0.9969154378573577,0.9995,2.060238838195801,70000.0
80001,1691148961,0.9873996849921248,0.9873990549291197,1.0,1.0,0.003952569169960474,0.9936595798213611,0.9994,2.301370620727539,80000.0
90001,1691148961,0.9811495287382185,0.9811490574528726,1.0,1.0,0.0013245033112582781,0.9904848438959138,0.9994,2.567436695098877,90000.0
100001,1691148961,0.9759993999849996,0.9759825873758475,1.0,1.0,0.02834008097165992,0.9878453318477628,0.9998,2.8349502086639404,100000.0
110001,1691148961,0.9791494787369684,0.999607329842932,0.9790021536252692,0.5447470817120622,0.9849246231155779,0.9891974509092795,0.9768,3.0674283504486084,110000.0
120001,1691148961,0.9806745168629216,0.9990352523988318,0.981152851399452,0.5531268973891925,0.9609704641350211,0.9900133069777657,0.9734,3.3197453022003174,120000.0
130001,1691148961,0.9578989474736869,0.9999732527349079,0.9569223681179452,0.3556661562021439,0.9989247311827957,0.9779742597049284,0.9745,3.5576047897338867,130000.0
140001,1691148961,0.978049451236281,0.9787036572517935,0.9992572862777237,0.7819548872180451,0.10912906610703044,0.9888736820762369,0.9765,3.840975761413574,140000.0
150001,1691148961,0.9596489912247806,0.9999198610925605,0.9587378019107138,0.3716848673946958,0.9968619246861925,0.9788958916289652,0.9761,4.060151815414429,150000.0
160001,1691148961,0.9591739793494838,0.9998930595658219,0.9582618053242461,0.3722543352601156,0.9958762886597938,0.9786348828385645,0.9781,4.304619789123535,160000.0
170001,1691148961,0.8558963974099353,0.9979769130072593,0.854841997961264,0.10818850790668545,0.9104084321475626,0.9208806896173064,0.9763,4.568475723266602,170000.0
180001,1691148961,0.7305432635815895,0.9987834549878345,0.72787375246973,0.04328079080951109,0.9328214971209213,0.8420759582698394,0.9742,4.852671146392822,180000.0
190001,1691148961,0.6295157378934474,0.9897230378541385,0.6314203984507506,0.016016760154085288,0.4778225806451613,0.770975967854107,0.9758,5.115927219390869,190000.0
200001,1691148961,0.5525388134703367,0.9879913167983003,0.5480796330933408,0.03869631567473294,0.7319587628865979,0.7050428477257745,0.9767,5.352251768112183,200000.0
210001,1691148961,0.9562239055976399,0.9564630273325164,0.9997386167598934,0.0,0.0,0.9776221452579652,0.9974,5.607820510864258,210000.0
220001,1691148961,0.9226730668266707,0.9226730668266707,1.0,0.0,0.0,0.9597815486639361,0.998,5.8482561111450195,220000.0
230001,1691148961,0.9244231105777645,0.9380610643825398,0.9834160284758926,0.45187165775401067,0.17392795883361922,0.9602032622003397,0.9782,6.114637613296509,230000.0
240001,1691148961,0.7330933273331833,0.9386827669036258,0.7669539848826415,0.04406005221932115,0.17654751525719267,0.8441732835123774,0.9294,6.375358581542969,240000.0
250001,1691148961,0.9534488362209055,0.9677229746997189,0.9844278063744606,0.31070195627157654,0.1761252446183953,0.976003917727718,0.9202,6.644203186035156,250000.0
260001,1691148961,0.9952248806220155,0.9952248806220155,1.0,0.0,0.0,0.9976067262270226,0.8629,6.886095285415649,260000.0
270001,1691148961,0.9534738368459211,0.9534976748837442,0.9999737801200871,0.0,0.0,0.9761828583129631,0.996,7.166478872299194,270000.0
280001,1691148961,0.9475736893422335,0.9476921538230735,0.9998680982404305,0.0,0.0,0.973081218469596,0.9915,7.4218590259552,280000.0
290001,1691148961,0.9400735018375459,0.9402380476095219,0.9998138743385891,0.0,0.0,0.9691112227935206,0.9964,7.663390636444092,290000.0
300001,1691148961,0.9323733093327333,0.932629788936681,0.9997051333601394,0.0,0.0,0.9650032991344625,0.9969,7.944761037826538,300000.0
310001,1691148961,0.9544988624715618,0.9961513618258154,0.9566554665288188,0.4101301442138586,0.8907563025210085,0.9760040081217203,0.8292,8.16154432296753,310000.0
320001,1691148961,0.9774994374859372,0.9947672745349415,0.9819219544949769,0.6062992125984252,0.8435054773082942,0.9883028774921369,0.9683,8.418188095092773,320000.0
330001,1691148961,0.9561489037225931,0.9963238253682883,0.958267736857047,0.4081259150805271,0.8905750798722045,0.9769253032336148,0.9666,8.680994510650635,330000.0
340001,1691148961,0.9742243556088902,0.9748434001660335,0.9992006601000464,0.875,0.17830731306491374,0.9868717609157934,0.9666,8.92813229560852,340000.0
350001,1691148961,0.961224030600765,0.9693249954965387,0.9905590911481618,0.6850877192982456,0.39584389254941715,0.9798270143721142,0.9676,9.168636798858643,350000.0
