idx,timestamp,acc,prec_attack,recl_attack,prec_normal,recl_normal,f1,lb,timest,qnt
1,1691151788,4.0282814e-316,3.60048936e-316,4.58937508e-315,4.451115154e-315,3.58960396e-316,8.7884e-320,6.92700180623414e-310,4.590338175e-315,4.591453197e-315
10001,1691151788,0.9988249706242656,0.9988249706242656,1.0,0.0,0.0,0.9994121399357107,0.9987,3.7736268043518066,10000.0
20001,1691151788,0.9987749693742344,0.9987749693742344,1.0,0.0,0.0,0.9993871092821675,0.9993,6.569236993789673,20000.0
30001,1691151788,0.99879996999925,0.99879996999925,1.0,0.0,0.0,0.9993996247654785,0.9994,9.11807656288147,30000.0
40001,1691151788,0.99879996999925,0.99879996999925,1.0,0.0,0.0,0.9993996247654785,0.9994,11.770451545715332,40000.0
50001,1691151788,0.9993499837495937,0.9993499837495937,1.0,0.0,0.0,0.9996748862101735,0.9972,14.441314220428467,50000.0
60001,1691151788,0.9995249881247031,0.9995249881247031,1.0,0.0,0.0,0.9997624376398805,0.9991,17.096949815750122,60000.0
70001,1691151788,0.9938498462461561,0.9938498462461561,1.0,0.0,0.0,0.9969154378573577,0.9995,19.819361925125122,70000.0
80001,1691151788,0.9873496837420935,0.9873496837420935,1.0,0.0,0.0,0.9936345795803351,0.9994,22.347846031188965,80000.0
90001,1691151788,0.9811245281132028,0.9811245281132028,1.0,0.0,0.0,0.9904723445604028,0.9994,24.8082492351532,90000.0
100001,1691151788,0.9752993824845622,0.9752993824845622,1.0,0.0,0.0,0.9874952537653462,0.9998,27.203694820404053,100000.0
110001,1691151788,0.9760244006100153,0.976002802592398,1.0,1.0,0.036180904522613064,0.9878556865526106,0.9768,30.104671239852905,110000.0
120001,1691151788,0.9802245056126403,0.9985665884805838,0.981152851399452,0.5481890730509515,0.9419831223628692,0.9897831337750739,0.9734,32.713417530059814,120000.0
130001,1691151788,0.9803495087377184,0.9984376220607765,0.9814174921293097,0.5451127819548872,0.9354838709677419,0.9898543990086741,0.9745,35.651766777038574,130000.0
140001,1691151788,0.9812245306132653,0.9981787433328997,0.982559032935512,0.5645780051150895,0.9265477439664218,0.9903073011447967,0.9765,38.31606602668762,140000.0
150001,1691151788,0.9803245081127028,0.9982807127227259,0.981533181364137,0.5524518932340161,0.9309623430962343,0.9898361121514639,0.9761,40.89045977592468,150000.0
160001,1691151788,0.9801495037375935,0.9980980172481175,0.9815265571754337,0.5543881334981459,0.9247422680412372,0.9897429272703786,0.9781,43.522216796875,160000.0
170001,1691151788,0.9822245556138903,0.9982413035044614,0.9836136595310907,0.5179910044977512,0.9104084321475626,0.9908734997753675,0.9763,46.22859835624695,170000.0
180001,1691151788,0.9839245981149529,0.9986645779295822,0.9850296367597142,0.44245283018867926,0.9001919385796545,0.9918002473953351,0.9742,48.90360069274902,180000.0
190001,1691151788,0.9824995624890622,0.9942679540417293,0.9879755967901173,0.3632707774798928,0.5463709677419355,0.9911117883081925,0.9758,51.49815106391907,190000.0
200001,1691151788,0.9698742468561714,0.9803169604307411,0.9889825514361116,0.312,0.20103092783505155,0.9846306901521625,0.9767,54.0055627822876,200000.0
210001,1691151788,0.9520988024700617,0.9643039656582175,0.9864342098384652,0.3986095017381228,0.19758759333716255,0.9752435589322169,0.9974,56.676105976104736,210000.0
220001,1691151788,0.9224230605765145,0.9339838233406086,0.9855849997290413,0.4952561669829222,0.1687681862269641,0.9590908491648099,0.998,59.1231529712677,220000.0
230001,1691151788,0.8905722643066076,0.9980205256265797,0.8837234386797541,0.39793353811784415,0.9777015437392796,0.9374007808812803,0.9782,62.23130440711975,230000.0
240001,1691151788,0.966299157478937,0.9822778765287985,0.9819652565972683,0.7051170858629662,0.7088055797733217,0.9821215416854558,0.9294,65.03978753089905,240000.0
250001,1691151788,0.9621490537263432,0.975670665774162,0.985207715904955,0.5082108902333622,0.3835616438356164,0.9804159983442852,0.9202,67.86287426948547,250000.0
260001,1691151788,0.9863746593664842,0.9997963288271087,0.9865102491961415,0.25416666666666665,0.9581151832460733,0.9931088548054675,0.8629,70.9389443397522,260000.0
270001,1691151788,0.9726743168579215,0.9792248784021526,0.9923962348252445,0.7847067557535263,0.5682795698924731,0.9857665611855556,0.996,73.93781661987305,270000.0
280001,1691151788,0.9476986924673116,0.9476986924673116,1.0,0.0,0.0,0.9731471260236695,0.9915,76.80405688285828,280000.0
290001,1691151788,0.9402485062126553,0.9402485062126553,1.0,0.0,0.0,0.9692042057519843,0.9964,79.49913287162781,290000.0
