idx,timestamp,acc,prec_attack,recl_attack,prec_normal,recl_normal,f1,lb,timest,qnt
1,1691149018,6.9270018062302e-310,6.9270018062381e-310,6.92700180628157e-310,6.9270018061875e-310,6.9270018061875e-310,6.9270018061875e-310,6.9270018061875e-310,3.6003823e-316,3.5989399e-316
10001,1691149018,0.9988249706242656,0.9988249706242656,1.0,0.0,0.0,0.9994121399357107,0.9987,0.5301773548126221,10000.0
20001,1691149018,0.9987749693742344,0.9987749693742344,1.0,0.0,0.0,0.9993871092821675,0.9993,0.6465620994567871,20000.0
30001,1691149018,0.9982999574989375,0.9988243239862922,0.9994743560862056,0.045454545454545456,0.020833333333333332,0.9991492343108798,0.9994,0.8100547790527344,30000.0
40001,1691149018,0.9981999549988749,0.998824206339279,0.9993742334359591,0.038461538461538464,0.020833333333333332,0.9990991441869777,0.9994,0.9244019985198975,40000.0
50001,1691149018,0.6360909022725568,0.9990575299430591,0.6364546068596303,0.0001376083665886886,0.07692307692307693,0.7775604388887191,0.9972,1.0560495853424072,50000.0
60001,1691149018,0.9316232905822646,0.9994903843574819,0.9320660330165083,0.0,0.0,0.9646014262971928,0.9991,1.1990079879760742,60000.0
70001,1691149018,0.9785494637365935,0.9937542844085612,0.9846049354765678,0.0,0.0,0.989158453373768,0.9995,1.3352265357971191,70000.0
80001,1691149018,0.9764744118602965,0.9872105954908502,0.9889853898159168,0.0,0.0,0.9880971956942459,0.9994,1.4864137172698975,80000.0
90001,1691149018,0.975574389359734,0.9810191819393117,0.9943430842931403,0.0,0.0,0.9876361979726908,0.9994,1.6339266300201416,90000.0
100001,1691149018,0.9750243756093903,0.9753163607262542,0.9996923944528466,0.07692307692307693,0.0010121457489878543,0.9873539501500057,0.9998,1.7571840286254883,100000.0
110001,1691149018,0.9762494062351559,0.9974639196820749,0.9781304481591632,0.5128498001142204,0.9025125628140703,0.987702583751877,0.9768,1.9093213081359863,110000.0
120001,1691149018,0.9761244031100778,0.9975966562173458,0.9779006939643031,0.49796393251890636,0.9029535864978903,0.9876504894544232,0.9734,2.0421714782714844,120000.0
130001,1691149018,0.9758993974849371,0.997467296796261,0.9778084926668202,0.49,0.8956989247311828,0.9875400682452693,0.9745,2.1848719120025635,130000.0
140001,1691149018,0.9758493962349059,0.9761666583304156,0.9996670593658762,0.0,0.0,0.9877771029456422,0.9765,2.304535388946533,140000.0
150001,1691149018,0.9763994099852497,0.9971034158816314,0.978664549343032,0.5035756853396901,0.8838912133891214,0.9877979421953362,0.9761,2.448756217956543,150000.0
160001,1691149018,0.975574389359734,0.9757451490298059,0.9998206461861693,0.0,0.0,0.9876361979726908,0.9781,2.59086012840271,160000.0
170001,1691149018,0.9094977374434361,0.9964598316329375,0.9109836901121304,0.15321212121212122,0.8326745718050066,0.951806587320606,0.9763,2.734210252761841,170000.0
180001,1691149018,0.979374484362109,0.9868749212747198,0.9922995085870612,0.0,0.0,0.9895797809859422,0.9742,2.869894504547119,180000.0
190001,1691149018,0.9779994499862497,0.9882189356592087,0.9895197833075969,0.06756756756756757,0.06048387096774194,0.9888689316704192,0.9758,3.0050861835479736,190000.0
200001,1691149018,0.6062401560039001,0.9658595157094256,0.6183094621947782,0.007792726788330891,0.12061855670103093,0.7539600712344176,0.9767,3.154128074645996,200000.0
210001,1691149018,0.9470986774669367,0.9613244153987542,0.9842908672695907,0.27327690447400244,0.12981045376220562,0.9726720909208318,0.9974,3.297747850418091,210000.0
220001,1691149018,0.910372759318983,0.9282794786766407,0.978458787189075,0.27595628415300544,0.0979631425800194,0.9527088527444696,0.998,3.443608045578003,220000.0
230001,1691149018,0.9119977999449986,0.9321470876036463,0.976135260489699,0.24034334763948498,0.09605488850771869,0.9536341842514292,0.9782,3.5831878185272217,230000.0
240001,1691149018,0.5990149753743843,0.9281818181818182,0.6228086460681608,0.03245118715558882,0.20793374019180472,0.745432902150623,0.9294,3.7548489570617676,240000.0
250001,1691149018,0.6912172804320108,0.956380413127818,0.7113554827639994,0.025026343519494204,0.18590998043052837,0.8158683304262266,0.9202,3.8712151050567627,250000.0
260001,1691149018,0.7519437985949649,0.9968082984240973,0.753165192926045,0.009575647616167726,0.4973821989528796,0.8580259279397877,0.8629,3.9919052124023438,260000.0
270001,1691149018,0.6607915197879947,0.934408259962519,0.6928865465796167,0.00042669397508107184,0.002688172043010753,0.7957241794640167,0.996,4.138493299484253,270000.0
280001,1691149018,0.45111127778194454,0.8961851778263461,0.47595430923048515,0.00010066945185483464,0.0009560229445506692,0.6217198780130602,0.9915,4.274484395980835,280000.0
290001,1691149018,0.2537563439085977,0.8096074050430897,0.26977585152490097,0.0001456293006152838,0.0016736401673640166,0.4046987495263358,0.9964,4.414386987686157,290000.0
300001,1691149018,0.042826070651766295,0.38849738576949305,0.045811553411070904,0.00011235955056179776,0.0014847809948032665,0.08195856512564742,0.9969,4.547429800033569,300000.0
310001,1691149018,0.04802620065501637,0.7263313609467456,0.025381235461359525,0.02429684063446063,0.7173414820473644,0.04904849907597023,0.8292,4.6874473094940186,310000.0
320001,1691149018,0.0481512037800945,0.6013133208255159,0.04966297358022778,8.151952392598027e-05,0.002347417840375587,0.09174837186001575,0.9683,4.838223695755005,320000.0
330001,1691149018,0.9699492487312182,0.9901564009504165,0.9787080290086975,0.5147058823529411,0.6988817891373802,0.9843989305090465,0.9666,4.994566440582275,330000.0
340001,1691149018,0.9823745593639841,0.9902912621359223,0.9915424681553298,0.7191780821917808,0.6902218570254725,0.9909164701789649,0.9666,5.125913143157959,340000.0
350001,1691149018,0.9294482362059051,0.9496040868454662,0.9776731709882712,0.0,0.0,0.9634342282574894,0.9676,5.2655768394470215,350000.0
360001,1691149018,0.8933223330583264,0.969351724137931,0.9175871523697611,0.15817551347025874,0.34800469483568075,0.9427594070695553,0.9714,5.396894216537476,360000.0
370001,1691149018,0.9616740418510463,0.9644710779028659,0.9969934166191489,0.0,0.0,0.9804626266488243,0.9692,5.558149814605713,370000.0
380001,1691149018,0.8095452386309657,0.9706245669006659,0.8290486116472374,0.024236192714453583,0.14473684210526316,0.8942678695350451,0.9701,5.701798915863037,380000.0
390001,1691149018,0.7266181654541364,0.9974602738785736,0.7279581204288148,9.206407659731172e-05,0.013333333333333334,0.8416617193495606,0.892,5.855287790298462,390000.0
400001,1691149018,0.936198404960124,0.9977883769884622,0.9381435550544908,0.0004048582995951417,0.011904761904761904,0.9670471566551314,0.9983,6.014419794082642,400000.0
410001,1691149018,0.9772744318607965,0.9981614830703233,0.979036742054249,0.0,0.0,0.9885066191252891,0.9979,6.164257764816284,410000.0
420001,1691149018,0.9772744318607965,0.9982889393978088,0.9789141540619052,0.0,0.0,0.9885066191252891,0.9978,6.30681300163269,420000.0
430001,1691149018,0.9777244431110778,0.9981368520456344,0.9795120973801533,0.0,0.0,0.9887367742424817,0.9985,6.447615146636963,430000.0
440001,1691149018,0.9959748993724843,0.9984961652213143,0.997471143493828,0.0,0.0,0.9979833911594874,0.9974,6.588281154632568,440000.0
450001,1691149018,0.9690742268556714,0.9714056587224018,0.9975294662617736,0.0,0.0,0.9842942573100899,0.9991,6.74273681640625,450000.0
460001,1691149018,0.7202680067001676,0.7214736525746344,0.9976450216450217,0.04225352112676056,0.00026968716289104636,0.8373762771972153,0.9983,6.869910717010498,460000.0
470001,1691149018,0.4636615915397885,0.46769588397301465,0.9795723962743438,0.08530805687203792,0.0017059185897739658,0.6331127186906778,0.9979,7.026782512664795,470000.0
480001,1691149018,0.35835895897397435,0.3584612687520349,0.9965882189110152,0.3,0.000819128603190701,0.5272697132121346,0.9987,7.140241861343384,480000.0
490001,1691149018,0.2173054326358159,0.24764143834584199,0.5642082131575333,0.06977425974787452,0.01871289853363211,0.3442049477366514,0.8908,7.2994256019592285,490000.0
500001,1691149018,0.2666566664166604,0.3735199705309688,0.28940715974883796,0.16993713088207277,0.23059523040134428,0.32612740931333134,0.0,7.433717489242554,500000.0
510001,1691149018,0.2951073776844421,0.7499604367779712,0.27462115724509606,0.08501151273710757,0.4239883339409406,0.4020275285783971,0.0,7.609276056289673,510000.0
520001,1691149018,0.26315657891447286,0.9881813550687722,0.2483357230643179,0.02739862178637689,0.8769883351007424,0.39692251028217146,0.5454,7.755023717880249,520000.0
530001,1691149018,0.23615590389759744,0.9946219550775072,0.23618971302649372,0.00045877572421025033,0.2153846153846154,0.3817309832648684,0.911,7.907364130020142,530000.0
540001,1691149018,0.44886122153053826,0.9982198486871384,0.4490827639712691,0.0004540707442219498,0.23809523809523808,0.6194742202199092,0.9964,8.044394969940186,540000.0
550001,1691149018,0.5545388634715868,0.9983796192105144,0.55503841052974,0.0,0.0,0.71344483756835,0.9987,8.161804676055908,550000.0
560001,1691149018,0.6068151703792595,0.9986011684357772,0.6073314149881146,0.0,0.0,0.7553017690715874,0.9997,8.33292031288147,560000.0
570001,1691149018,0.6505162629065727,0.9989633724948168,0.6509469365289835,7.166917508779473e-05,0.03571428571428571,0.7882515109744459,0.9987,8.461946487426758,570000.0
580001,1691149018,0.6815420385509637,0.999266862170088,0.681875031267197,7.862253321802028e-05,0.047619047619047616,0.810609890273276,0.9987,8.588382005691528,580000.0
590001,1691149018,0.6695417385434635,0.9990673381831748,0.6699522177469792,7.579202667879339e-05,0.038461538461538464,0.8020605588666927,0.9993,8.731389999389648,590000.0
600001,1691149018,0.6808170204255106,0.9988262480284635,0.6813541510283742,7.85175879396985e-05,0.030303030303030304,0.810096833211858,0.9999,8.859193086624146,600000.0
610001,1691149018,0.6810920273006825,0.9989732683069927,0.681569137624778,0.0,0.0,0.8102971357187472,0.9993,9.041510820388794,610000.0
